end_station_name,casual_user,member_user
Larrabee St & Menomonee St,1672,3715
Stave St & Armitage Ave,1641,2452
Orleans St & Elm St,1622,3084
Damen Ave & Clybourn Ave,1612,2872
Damen Ave & Leland Ave,1596,3151
Ashland Ave & Belle Plaine Ave,1588,1482
Racine Ave & Washington Blvd,1581,3439
Central Park Ave & Bloomingdale Ave,1579,1457
Campbell Ave & Fullerton Ave,1563,1640
Green St & Washington Blvd,1532,1790
Lincoln Ave & Waveland Ave,1520,2897
California Ave & Altgeld St,1520,1999
Clark St & Ida B Wells Dr,1516,4181
Halsted St & Roosevelt Rd,1504,6091
Glenwood Ave & Morse Ave,1487,2700
Elizabeth (May) St & Fulton St,1478,3394
Buckingham Fountain (Temp),1453,699
MLK Jr Dr & 29th St,1437,6417
Troy St & North Ave,1433,1435
St. Louis Ave & Fullerton Ave,1422,1785
Wood St & Hubbard St,1419,2566
Lincoln Ave & Addison St,1416,1995
Damen Ave & Cullerton St,1412,1538
Elston Ave & Wabansia Ave,1396,1920
Blackstone Ave & Hyde Park Blvd,1395,2547
State St & 33rd St,1364,11582
Damen Ave & Madison St,1342,1441
Leavitt St & Division St,1324,2461
Damen Ave & Walnut (Lake) St,1307,1775
Richmond St & Diversey Ave,1297,1533
Ravenswood Ave & Berteau Ave,1286,2523
Halsted St & 18th St,1281,2167
Emerald Ave & 31st St,1268,4911
Kosciuszko Park,1262,1250
Clinton St & Tilden St,1257,2703
Lake Park Ave & 35th St,1245,1193
Chicago Ave & Washington St,1235,1650
Wells St & 19th St,1233,1062
Paulina St & Montrose Ave,1231,2314
Talman Ave & Addison St,1231,1906
Paulina St & Flournoy St,1225,7289
Winchester Ave & Elston Ave,1221,2360
Clark St & Elmdale Ave,1220,2008
Sheridan Rd & Argyle St,1215,1693
Damen Ave & Sunnyside Ave,1204,2156
Sheridan Rd & Columbia Ave,1204,2096
Central Park Ave & Elbridge Ave,1191,1325
Morgan Ave & 14th Pl,1190,3420
Clinton St & 18th St,1183,1901
Racine Ave & Congress Pkwy,1180,5347
University Library (NU),1178,1643
Lincoln Ave & Roscoe St,1175,2504
State St & 19th St,1167,1463
Leavitt St & Addison St,1163,1782
Laflin St & Cullerton St,1159,1756
California Ave & Montrose Ave,1145,1950
Racine Ave & 15th St,1136,1764
Western Ave & Roscoe St,1112,2147
Claremont Ave & Hirsch St,1086,1565
Avers Ave & Belmont Ave,1079,966
Ellis Ave & 53rd St,1076,4111
May St & Cullerton St,1066,1568
Troy St & Elston Ave,1050,1320
Southport Ave & Clark St,1046,1776
Morgan St & 31st St,1039,2291
Clark St & Schreiber Ave,1032,2023
W Oakdale Ave & N Broadway,1013,965
California Ave & Byron St,1004,1288
Lake Park Ave & 47th St,1000,1341
Milwaukee Ave & Fullerton Ave,997,932
Wolcott Ave & Polk St,984,8616
Wentworth Ave & 24th St (Temp),974,1293
Spaulding Ave & Division St,964,1304
Western Ave & Congress Pkwy,963,2705
Hampden Ct & Diversey Ave,963,1492
Lincoln Ave & Winona St,951,1494
Rockwell St & Eastwood Ave,942,2110
Sheridan Rd & Greenleaf Ave,942,1003
Harper Ave & 59th St,928,3904
Rhodes Ave & 32nd St,919,3483
Oakley Ave & Irving Park Rd,917,1615
Leavitt St & Lawrence Ave,915,1624
Kimball Ave & Belmont Ave,914,999
Clark St & Lunt Ave,913,1859
Greenview Ave & Jarvis Ave,904,2212
Halsted St & 35th St,893,1562
Washtenaw Ave & Lawrence Ave,892,1814
State St & 35th St,889,3904
Racine Ave & Fullerton Ave (Temp),880,2370
Lincoln Ave & Belmont Ave,876,2476
Wood St & Taylor St (Temp),863,5261
Calumet Ave & 33rd St,857,6174
Halsted St & Archer Ave,828,1453
Damen Ave & Wabansia Ave,818,1018
Wilton Ave & Diversey Pkwy*,812,1170
Halsted St & 21st St,807,1162
Smith Park,802,1165
Western Ave & Fillmore St,801,4713
Indiana Ave & 26th St,800,1587
Hoyne Ave & Balmoral Ave,786,1347
Ogden Ave & Congress Pkwy,783,2246
Central Park Ave & North Ave,775,539
Artesian Ave & Hubbard St,771,1905
Winchester (Ravenswood) Ave & Balmoral Ave,769,1450
Clark St & Columbia Ave,765,1386
Greenwood Ave & 47th St,751,1039
Christiana Ave & Lawrence Ave,750,1114
Wentworth Ave & 35th St,749,921
Campbell Ave & Montrose Ave,748,2118
Cottage Grove Ave & Oakwood Blvd,728,360
Canal St & Harrison St,714,1729
Paulina St & Howard St,708,1640
Albany Ave & Montrose Ave,705,1242
Wentworth Ave & 33rd St,703,2207
Francisco Ave & Foster Ave,698,1522
W Armitage Ave & N Sheffield Ave,686,911
Keystone Ave & Fullerton Ave,686,455
